"","LOC NO","LOC STREET","LOC CITY","LOC STATE","LOC ZIP","DBA","FEIN/SSN","LIC TEXT2 (LIC 1)","CHG 1 DESC (LIC 1)","CHG 1 LONG DESC (LIC 1)","CYCLE CODE (LIC 2)","CYCLE DESC (LIC 2)","LIC TEXT1 (LIC 2)","LIC TEXT2 (LIC 2)","LIC TEXT4 (LIC 2)","CYCLE DESC (LIC 3)","LIC TEXT2 (LIC 3)","CHG 1 DESC (LIC 3)","CHG 1 LONG DESC (LIC 3)","CYCLE CODE (LIC 4)","CYCLE DESC (LIC 4)","LIC TEXT1 (LIC 4)","LIC TEXT2 (LIC 4)","LIC TEXT4 (LIC 4)","CYCLE CODE (LIC 5)","CYCLE DESC (LIC 5)","LIC TEXT1 (LIC 5)","LIC TEXT2 (LIC 5)","QTY STAT CD (LIC 5)","address...30","lon","lat","address...33"
"296",310,"MANHATTAN","JOLIET","IL",60433,"MARATHON GAS STATION","81-1057164","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","GAS STATION",NA,"BUSINESS LICENSE","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,NA,NA,NA,NA,NA,"310 MANHATTAN JOLIET IL 60433",-88.0727845,41.5012415,"310 manhattan rd, joliet, il 60433, usa"
"297",714,"JEFFERSON","JOLIET","IL",60435,"ELITE AUTO REPAIR","80-0798793","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"714 JEFFERSON JOLIET IL 60435",-88.1001884,41.5235571,"714 w jefferson st, joliet, il 60435, usa"
"298",1415,"PLAINFIELD","JOLIET","IL",60435,"LIQUOR EXPRESS","36-3347727","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS C PACKAGE","CLASS C","CLASS C PACKAGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1415 PLAINFIELD JOLIET IL 60435",-88.1173168,41.5493967,"1415 plainfield rd, joliet, il 60435, usa"
"299",2231,"JEFFERSON","JOLIET","IL",60435,"JODY'S PIZZA & GRINDERS","22-3978393","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"2231 JEFFERSON JOLIET IL 60435",-88.1363066,41.5232484,"2231 w jefferson st, joliet, il 60435, usa"
"300",0,"OUT OF AREA",NA,NA,NA,"SNACK-PRO VENDING","20-1934585","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"301",1600,"LARKIN","JOLIET","IL",60435,"JIFFY LUBE 233","30-0846946","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1600 LARKIN JOLIET IL 60435",-88.1255353,41.5519687,"1600 n larkin ave, joliet, il 60403, usa"
"302",1644,"JEFFERSON","JOLIET","IL",60435,"JIFFY LUBE 2567","30-0846946","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1644 JEFFERSON JOLIET IL 60435",-88.1219943,41.5224471,"1644 w jefferson st, joliet, il 60435, usa"
"303",2421,"JEFFERSON","JOLIET","IL",60435,"LONG JOHN SILVERS","47-5631401","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"2421 JEFFERSON JOLIET IL 60435",-88.1428253,41.5226119,"2421 w jefferson st, joliet, il 60435, usa"
"304",1233,"WASHINGTON","JOLIET","IL",60433,"SUPREME AUTO SALES","45-3787790","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1233 WASHINGTON JOLIET IL 60433",-88.0494549,41.5240949,"1233 e washington st #1233, joliet, il 60433, usa"
"305",120,"LARKIN","JOLIET","IL",60435,"COUNTRY CLUB CLEANERS","20-1392160","DRY CLEANER","DRY CLEANR","DRY CLEANER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120 LARKIN JOLIET IL 60435",-88.1238192,41.5260318,"120 n larkin ave, joliet, il 60435, usa"
